SECNO,REGION,STATE,STATION,LAT,LATITUDE,LONG,LUNIT,LONGITUD,VEGTAT,VEG,SOIL,SOIL2,CMAT,CRR,MCM,MWM,RHIGH,RLOW,RRCORR,TJAN,TFEB,TMAR,TAPR,TMAY,TJUN,TJUL,TAUG,TSEP,TOCT,TNOV,TDEC,TUNIT,RJAN,RFEB,RMAR,RAPR,RMAY,RJUN,RJUL,RAUG,RSEP,ROCT,RNOV,RDEC,RUNIT,ELEV,ELUNIT,COKLM,VEGNU
A,B,ARGENTINA,ANATUYA,S,28.4666,W,DD,62.8333,DTW,DSD,D,,20.9815,615.1880,13.6111,27.7778,104.9020,8.1280,0.1000,27.7778,26.8889,23.3889,20.3889,17.0000,14.1111,13.6111,15.5000,19.1111,21.8889,24.7222,27.3889,C,104.9020,87.8840,86.1060,50.0380,20.0660,8.1280,9.1440,9.9060,32.0040,48.0060,75.9460,83.0580,MM,351.00,FT,814.00,13.00
A,B,ARGENTINA,ANDALGALA,S,27.5500,W,DD,66.2800,DSD,,D,,18.1713,359.9180,9.8889,25.2778,72.8980,4.3180,2.0000,25.0000,23.7222,21.2222,17.8889,13.7222,10.2222,9.8889,13.0000,16.7778,18.6111,22.7222,25.2778,C,72.1360,72.8980,44.9580,21.3360,12.4460,4.5720,4.3180,5.0800,7.3660,25.6540,37.0840,52.0700,MM,3486.00,FT,408.00,25.00
A,B,ARGENTINA,BARROW,S,38.3333,W,DD,60.2167,GP,DTW,M,,13.6389,703.3260,6.8333,20.9444,84.0740,38.1000,-4.0000,20.9444,20.4444,16.9444,13.9444,10.1667,7.6667,6.8333,7.6667,10.0000,13.2222,16.2222,19.6111,C,38.1000,66.0400,77.9780,55.1180,52.0700,44.9580,39.1160,49.0220,84.0740,57.9120,71.8820,67.0560,MM,393.00,FT,68.00,8.00
A,B,ARGENTINA,BELLA-VIS,S,28.4333,W,DD,58.9167,DTW,GP,M,,20.7454,1045.2100,14.5000,26.7222,128.0160,37.0840,3.0000,26.7222,26.1111,23.3889,20.5000,17.7222,15.3889,14.5000,16.6111,18.2778,20.7222,23.3889,25.6111,C,109.9820,103.1240,128.0160,128.0160,60.9600,51.0540,42.9260,37.0840,72.8980,99.0600,112.0140,100.0760,MM,216.00,FT,772.00,13.00
A,B,ARGENTINA,CAMPO-GAL,S,26.5800,W,DD,62.8500,DTW,,M,,22.4306,579.6280,15.5000,28.5000,112.0140,6.0960,0.1000,28.5000,26.8333,24.5000,21.7222,18.7222,15.7778,15.5000,18.2222,21.3889,23.7222,25.8889,28.3889,C,112.0140,87.8840,86.1060,39.1160,18.0340,10.9220,6.0960,6.6040,17.0180,46.9900,60.9600,87.8840,MM,623.00,FT,712.00,13.00
A,B,ARGENTINA,CERES,S,29.8833,W,DD,61.9500,DTW,DSD,M,D,19.3935,849.1220,12.2222,26.2778,123.9520,20.0660,2.0000,26.2778,25.2222,22.1111,19.1111,16.1111,13.0000,12.2222,14.1111,16.7778,19.6111,22.7778,25.3889,C,119.8880,104.9020,123.9520,57.9120,42.9260,22.0980,20.0660,23.1140,43.9420,71.1200,102.1080,117.0940,MM,289.00,FT,900.00,13.00
A,B,ARGENTINA,CIPOLLETT,S,38.9333,W,DD,68.0167,DSD,,D,,13.8611,162.3060,5.5000,21.7778,22.8600,7.6200,4.0000,21.7778,20.7222,16.8889,12.7778,8.7778,5.8889,5.5000,7.6111,11.2778,15.2778,18.6111,21.2222,C,15.4940,9.9060,11.9380,7.6200,22.8600,12.9540,11.9380,15.2400,12.7000,22.0980,10.9220,8.6360,MM,869.00,FT,417.00,19.00
A,B,ARGENTINA,CNL-MOLDE,S,25.2700,W,DD,65.4800,DSD,DTW,D,,18.2639,461.0100,11.3889,23.0000,132.3340,1.0160,1.0000,22.7778,22.1111,20.3889,18.3889,15.2222,11.8889,11.3889,14.6111,17.3889,20.1111,21.8889,23.0000,C,132.3340,93.4720,63.5000,15.7480,3.0480,2.0320,1.0160,1.0160,5.0800,13.4620,40.6400,89.6620,MM,3749.00,FT,509.00,13.00
A,B,ARGENTINA,COLONIAL-,S,25.9500,W,DD,60.5000,DTW,,M,,21.3519,802.6400,15.2222,26.2778,132.0800,12.9540,-1.0000,26.2778,26.2778,23.2778,20.7222,19.2222,16.0000,15.2222,17.0000,20.0000,22.1111,23.8889,26.2222,C,132.0800,96.5200,117.0940,67.0560,27.9400,26.9240,14.9860,12.9540,39.1160,80.0100,105.9180,82.0420,MM,364.00,FT,998.00,13.00
A,B,ARGENTINA,CORRIENTE,S,27.4667,W,DD,58.8167,GP,,M,,21.7083,1184.9100,15.3889,27.6111,144.0180,39.1160,2.0000,27.6111,26.8889,24.3889,21.6111,18.7222,16.1111,15.3889,17.8889,19.3889,21.7778,24.1111,26.6111,C,134.1120,108.9660,144.0180,135.8900,83.0580,57.9120,46.9900,39.1160,78.9940,105.9180,138.9380,110.9980,MM,197.00,FT,616.00,8.00
